county,dist_type,dist
Union,senate,051
Union,house,008
Paulding,senate,030
Paulding,senate,031
Paulding,house,017
Paulding,house,019
Montgomery,senate,019
Montgomery,house,155
Wayne,senate,019
Wayne,house,178
Wayne,house,168
Wayne,house,167
Terrell,senate,012
Terrell,house,148
Pickens,senate,051
Pickens,house,012
Wilkinson,senate,026
Wilkinson,senate,023
Wilkinson,house,140
Ben Hill,senate,013
Ben Hill,house,154
Ben Hill,house,144
Worth,senate,013
Worth,house,152
Worth,house,147
Appling,senate,019
Appling,house,168
McDuffie,senate,024
McDuffie,house,124
Dodge,senate,020
Dodge,house,144
Meriwether,senate,029
Meriwether,house,128
Columbia,senate,024
Columbia,house,117
Columbia,house,119
Columbia,house,118
Lumpkin,senate,051
Lumpkin,house,027
Lumpkin,house,009
Brooks,senate,008
Brooks,house,174
Elbert,senate,024
Elbert,senate,047
Elbert,house,030
Harris,senate,029
Harris,house,130
Harris,house,129
Dooly,senate,014
Dooly,house,135
Dooly,house,147
Dougherty,senate,012
Dougherty,house,151
Dougherty,house,150
Dougherty,house,152
Crisp,senate,013
Crisp,house,147
Hancock,senate,025
Hancock,house,124
Toombs,senate,019
Toombs,house,155
Gordon,senate,054
Gordon,senate,052
Gordon,house,012
Gordon,house,005
Henry,senate,010
Henry,senate,044
Henry,senate,017
Henry,house,090
Henry,house,091
Henry,house,110
Henry,house,109
Henry,house,073
Henry,house,078
Webster,senate,014
Webster,house,148
Wilkes,senate,024
Wilkes,house,117
Wilkes,house,116
Thomas,senate,011
Thomas,senate,008
Thomas,house,174
Thomas,house,173
Ware,senate,003
Ware,senate,007
Ware,house,177
Stephens,senate,050
Stephens,house,028
Newton,senate,017
Newton,house,095
Newton,house,110
Newton,house,112
Washington,senate,023
Washington,house,142
Decatur,senate,011
Decatur,house,172
Heard,senate,028
Heard,house,070
Heard,house,069
Marion,senate,014
Marion,house,134
Jasper,senate,025
Jasper,house,125
Effingham,senate,004
Effingham,house,157
Effingham,house,159
Lowndes,senate,008
Lowndes,house,174
Lowndes,house,176
Lowndes,house,175
Polk,senate,031
Polk,house,016
Warren,senate,024
Warren,senate,025
Warren,house,124
Jackson,senate,049
Jackson,senate,047
Jackson,house,030
Jackson,house,031
McIntosh,senate,003
McIntosh,house,167
Bacon,senate,007
Bacon,house,168
Screven,senate,023
Screven,house,157
Liberty,senate,019
Liberty,senate,001
Liberty,house,164
Liberty,house,165
Liberty,house,166
Liberty,house,167
Jefferson,senate,023
Jefferson,house,142
Seminole,senate,011
Seminole,house,149
Jenkins,senate,023
Jenkins,house,157
White,senate,050
White,senate,051
White,house,027
White,house,010
White,house,008
Burke,senate,023
Burke,house,157
Burke,house,142
Burke,house,123
Putnam,senate,025
Putnam,house,124
Putnam,house,116
Putnam,house,141
Coffee,senate,007
Coffee,house,169
Glynn,senate,003
Glynn,house,179
Glynn,house,180
Glynn,house,167
Lee,senate,013
Lee,house,148
Lee,house,152
Catoosa,senate,054
Catoosa,senate,053
Catoosa,house,003
Catoosa,house,001
Catoosa,house,006
Butts,senate,025
Butts,house,126
Butts,house,110
Oconee,senate,046
Oconee,house,113
Jeff Davis,senate,019
Jeff Davis,house,154
Jeff Davis,house,168
Jeff Davis,house,169
Cook,senate,007
Cook,senate,008
Cook,house,170
Camden,senate,003
Camden,house,180
Chatham,senate,001
Chatham,senate,002
Chatham,house,164
Chatham,house,160
Chatham,house,161
Chatham,house,162
Chatham,house,163
Chatham,house,159
Colquitt,senate,011
Colquitt,house,170
Colquitt,house,171
Colquitt,house,152
Barrow,senate,047
Barrow,house,031
Barrow,house,108
Upson,senate,014
Upson,house,136
Upson,house,127
Schley,senate,014
Schley,house,134
Johnson,senate,020
Johnson,house,156
Johnson,house,142
Johnson,house,143
Candler,senate,004
Candler,house,156
Baker,senate,012
Baker,house,150
Oglethorpe,senate,047
Oglethorpe,house,116
Oglethorpe,house,113
Irwin,senate,013
Irwin,house,154
Greene,senate,025
Greene,house,116
Bartow,senate,031
Bartow,senate,052
Bartow,house,012
Bartow,house,014
Bartow,house,015
Forsyth,senate,051
Forsyth,senate,027
Forsyth,house,023
Forsyth,house,024
Forsyth,house,009
Clay,senate,012
Clay,house,149
Fulton,senate,038
Fulton,senate,048
Fulton,senate,036
Fulton,senate,032
Fulton,senate,035
Fulton,senate,039
Fulton,senate,056
Fulton,house,056
Fulton,house,050
Fulton,house,051
Fulton,house,049
Fulton,house,048
Fulton,house,044
Fulton,house,054
Fulton,house,055
Fulton,house,047
Fulton,house,058
Fulton,house,059
Fulton,house,057
Fulton,house,061
Fulton,house,060
Fulton,house,063
Fulton,house,062
Fulton,house,065
Fulton,house,064
Fulton,house,066
Fulton,house,046
Fulton,house,052
Fulton,house,053
Macon,senate,014
Macon,house,135
Madison,senate,047
Madison,house,029
Madison,house,030
Taylor,senate,014
Taylor,house,135
Evans,senate,004
Evans,house,166
Clinch,senate,007
Clinch,house,176
Charlton,senate,003
Charlton,house,177
Echols,senate,007
Echols,house,174
Grady,senate,011
Grady,house,172
Grady,house,173
Dawson,senate,051
Dawson,house,007
Dawson,house,009
Hart,senate,050
Hart,house,029
Baldwin,senate,025
Baldwin,house,141
Bibb,senate,018
Bibb,senate,026
Bibb,house,136
Bibb,house,139
Bibb,house,138
Bibb,house,137
Bibb,house,140
Lanier,senate,007
Lanier,house,176
Haralson,senate,031
Haralson,house,017
Haralson,house,018
Rockdale,senate,043
Rockdale,senate,017
Rockdale,house,092
Rockdale,house,093
Rockdale,house,094
Rockdale,house,095
Cherokee,senate,027
Cherokee,senate,021
Cherokee,house,023
Cherokee,house,022
Cherokee,house,021
Cherokee,house,020
Clarke,senate,047
Clarke,senate,046
Clarke,house,115
Clarke,house,114
Clarke,house,113
Richmond,senate,022
Richmond,senate,023
Richmond,house,119
Richmond,house,120
Richmond,house,121
Richmond,house,122
Richmond,house,123
Lamar,senate,016
Lamar,house,136
Lamar,house,125
Lamar,house,126
Lamar,house,127
Cobb,senate,033
Cobb,senate,037
Cobb,senate,032
Cobb,senate,006
Cobb,senate,021
Cobb,house,032
Cobb,house,033
Cobb,house,034
Cobb,house,035
Cobb,house,044
Cobb,house,043
Cobb,house,042
Cobb,house,045
Cobb,house,041
Cobb,house,040
Cobb,house,038
Cobb,house,039
Cobb,house,036
Cobb,house,037
Morgan,senate,025
Morgan,house,113
Morgan,house,112
Glascock,senate,024
Glascock,house,124
Treutlen,senate,004
Treutlen,house,155
Walton,senate,046
Walton,senate,017
Walton,house,111
Walton,house,107
Muscogee,senate,015
Muscogee,senate,029
Muscogee,house,133
Muscogee,house,132
Muscogee,house,130
Muscogee,house,129
Muscogee,house,131
Wheeler,senate,019
Wheeler,house,154
Wheeler,house,155
Fayette,senate,016
Fayette,senate,034
Fayette,house,077
Fayette,house,066
Fayette,house,074
Fayette,house,073
Fayette,house,072
Early,senate,011
Early,house,149
Floyd,senate,052
Floyd,house,014
Floyd,house,016
Floyd,house,011
Floyd,house,013
Chattahoochee,senate,015
Chattahoochee,house,148
Towns,senate,050
Towns,house,008
Pike,senate,016
Pike,house,127
Lincoln,senate,024
Lincoln,house,117
Dade,senate,053
Dade,house,002
Franklin,senate,050
Franklin,house,029
Franklin,house,028
Coweta,senate,028
Coweta,house,070
Coweta,house,071
Walker,senate,053
Walker,house,002
Walker,house,001
Chattooga,senate,053
Chattooga,house,011
Carroll,senate,030
Carroll,senate,028
Carroll,house,018
Carroll,house,069
Carroll,house,068
Murray,senate,054
Murray,house,006
Murray,house,005
Talbot,senate,014
Talbot,house,130
Talbot,house,135
Talbot,house,134
Tift,senate,013
Tift,house,153
Tift,house,154
Peach,senate,014
Peach,house,136
Peach,house,135
Bryan,senate,001
Bryan,house,164
Bryan,house,158
Sumter,senate,014
Sumter,house,134
Calhoun,senate,012
Calhoun,house,149
Douglas,senate,030
Douglas,senate,035
Douglas,house,063
Douglas,house,064
Douglas,house,067
Douglas,house,068
Pulaski,senate,020
Pulaski,house,147
Pulaski,house,144
Atkinson,senate,007
Atkinson,house,169
DeKalb,senate,005
DeKalb,senate,010
DeKalb,senate,043
DeKalb,senate,041
DeKalb,senate,040
DeKalb,senate,042
DeKalb,senate,055
DeKalb,house,090
DeKalb,house,091
DeKalb,house,092
DeKalb,house,093
DeKalb,house,094
DeKalb,house,084
DeKalb,house,089
DeKalb,house,058
DeKalb,house,057
DeKalb,house,060
DeKalb,house,079
DeKalb,house,088
DeKalb,house,083
DeKalb,house,082
DeKalb,house,081
DeKalb,house,080
DeKalb,house,087
DeKalb,house,086
DeKalb,house,085
Wilcox,senate,013
Wilcox,senate,020
Wilcox,house,144
Troup,senate,029
Troup,senate,028
Troup,house,128
Troup,house,129
Troup,house,069
Crawford,senate,014
Crawford,senate,018
Crawford,house,136
Long,senate,019
Long,house,167
Gilmer,senate,051
Gilmer,house,007
Bleckley,senate,020
Bleckley,house,144
Gwinnett,senate,005
Gwinnett,senate,045
Gwinnett,senate,048
Gwinnett,senate,009
Gwinnett,senate,041
Gwinnett,senate,040
Gwinnett,senate,055
Gwinnett,house,098
Gwinnett,house,099
Gwinnett,house,095
Gwinnett,house,096
Gwinnett,house,097
Gwinnett,house,051
Gwinnett,house,102
Gwinnett,house,103
Gwinnett,house,100
Gwinnett,house,104
Gwinnett,house,105
Gwinnett,house,101
Gwinnett,house,106
Gwinnett,house,107
Gwinnett,house,088
Clayton,senate,034
Clayton,senate,044
Clayton,house,076
Clayton,house,077
Clayton,house,075
Clayton,house,060
Clayton,house,062
Clayton,house,074
Clayton,house,078
Brantley,senate,003
Brantley,house,178
Quitman,senate,012
Quitman,house,148
Hall,senate,049
Hall,house,025
Hall,house,027
Hall,house,026
Hall,house,031
Jones,senate,018
Jones,senate,025
Jones,house,125
Jones,house,140
Pierce,senate,007
Pierce,house,178
Laurens,senate,020
Laurens,house,143
Berrien,senate,007
Berrien,house,170
Berrien,house,176
Taliaferro,senate,025
Taliaferro,house,124
Emanuel,senate,023
Emanuel,senate,004
Emanuel,house,155
Emanuel,house,156
Emanuel,house,142
Telfair,senate,020
Telfair,house,154
Banks,senate,050
Banks,house,028
Mitchell,senate,011
Mitchell,senate,012
Mitchell,house,171
Stewart,senate,014
Stewart,house,148
Houston,senate,018
Houston,senate,026
Houston,senate,020
Houston,house,136
Houston,house,145
Houston,house,146
Houston,house,147
Whitfield,senate,054
Whitfield,house,003
Whitfield,house,006
Whitfield,house,004
Spalding,senate,016
Spalding,senate,017
Spalding,house,126
Spalding,house,073
Miller,senate,011
Miller,house,149
Habersham,senate,050
Habersham,house,010
Rabun,senate,050
Rabun,house,008
Bulloch,senate,004
Bulloch,house,157
Bulloch,house,156
Bulloch,house,158
Fannin,senate,051
Fannin,house,007
Tattnall,senate,019
Tattnall,senate,004
Tattnall,house,166
Turner,senate,013
Turner,house,153
Twiggs,senate,026
Twiggs,house,140
Randolph,senate,012
Randolph,house,149
Monroe,senate,016
Monroe,senate,018
Monroe,house,136
Monroe,house,125
